brand,collection,price,currency,country,life_span_date,price_before,price_difference,price_changed
Chopard,L’HEURE DU DIAMANT ROUND SMALL,50700,CHF,Switzerland,2021-06-30,50700.0,0,0.0
Chopard,L'HEURE DU DIAMANT PETITE OVALE,51300,CHF,Switzerland,2021-06-30,51300.0,0,0.0
Chopard,ルール・ドゥ・ディアマン ヴィンテージ,54400,CHF,Switzerland,2021-06-30,54400.0,0,0.0
Chopard,L'HEURE DU DIAMANT VINTAGE,54400,CHF,Switzerland,2021-06-30,54400.0,0,0.0
Chopard,L'HEURE DU DIAMANT SMALL VINTAGE,55300,CHF,Switzerland,2021-06-30,55300.0,0,0.0
Chopard,ルール・ドゥ・ディアマン ヴィンテージ,55600,CHF,Switzerland,2021-06-30,55600.0,0,0.0
Chopard,ルール・ドゥ・ディアマン ミディアム オーバル,62000,CHF,Switzerland,2021-06-30,62000.0,0,0.0
Chopard,ルール・ドゥ・ディアマン オーバル,64000,CHF,Switzerland,2021-06-30,64000.0,0,0.0
Chopard,L’HEURE DU DIAMANT ROUND SMALL,66500,CHF,Switzerland,2021-06-30,66500.0,0,0.0
Chopard,L’HEURE DU DIAMANT ROUND MEDIUM,67500,CHF,Switzerland,2021-06-30,67500.0,0,0.0
Chopard,ルール・ドゥ・ディアマン ヴィンテージ,69800,CHF,Switzerland,2021-06-30,69800.0,0,0.0
Chopard,ルール・ドゥ・ディアマン,76300,CHF,Switzerland,2021-06-30,76300.0,0,0.0
Chopard,L'HEURE DU DIAMANT PETITE OVALE,77700,CHF,Switzerland,2021-06-30,77700.0,0,0.0
Chopard,L'HEURE DU DIAMANT OVAL,78100,CHF,Switzerland,2021-06-30,78100.0,0,0.0
Chopard,ルール・ドゥ・ディアマン,87400,CHF,Switzerland,2021-06-30,87400.0,0,0.0
Chopard,L’HEURE DU DIAMANT ROUND MEDIUM,96300,CHF,Switzerland,2021-06-30,96300.0,0,0.0
Chopard,MILLE MIGLIA 2020 RACE EDITION,6700,CHF,Switzerland,2021-06-30,6700.0,0,0.0
Chopard,MILLE MIGLIA 2020 RACE EDITION,8400,CHF,Switzerland,2021-06-30,8400.0,0,0.0
Chopard,MILLE MIGLIA CLASSIC CHRONOGRAPH,5260,CHF,Switzerland,2021-06-30,5260.0,0,0.0
Chopard,MILLE MIGLIA CLASSIC CHRONOGRAPH,5260,CHF,Switzerland,2021-06-30,5260.0,0,0.0
Chopard,MILLE MIGLIA CLASSIC CHRONOGRAPH,5580,CHF,Switzerland,2021-06-30,5580.0,0,0.0
Chopard,MILLE MIGLIA RACING COLORS,5860,CHF,Switzerland,2021-06-30,5860.0,0,0.0
Chopard,MILLE MIGLIA RACING COLORS,5860,CHF,Switzerland,2021-06-30,5860.0,0,0.0
Chopard,MILLE MIGLIA RACING COLORS,5860,CHF,Switzerland,2021-06-30,5860.0,0,0.0
Chopard,MILLE MIGLIA RACING COLORS,5860,CHF,Switzerland,2021-06-30,5860.0,0,0.0
Chopard,MILLE MIGLIA RACING COLORS,5860,CHF,Switzerland,2021-06-30,5860.0,0,0.0
Chopard,MILLE MIGLIA CLASSIC CHRONOGRAPH,4950,CHF,Switzerland,2021-06-30,4950.0,0,0.0
