brand,url,image_url,collection,reference_code,price,currency,country,life_span_date,category,scrapping_date,price_eur
Chopard,https://www.chopard.com/fr-ch/watch/278582-3001.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278582-3001_01.png",HAPPY SPORT,278582-3001,5770.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,6285.4
Chopard,https://www.chopard.com/fr-ch/watch/278590-3013.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278590-3013_01.png",HAPPY SPORT,278590-3013,5970.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,6503.27
Chopard,https://www.chopard.com/fr-ch/watch/278590-3010.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278590-3010_01.png",HAPPY SPORT,278590-3010,5970.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,6503.27
Chopard,https://www.chopard.com/fr-ch/watch/278590-3012.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278590-3012_01.png",HAPPY SPORT,278590-3012,5970.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,6503.27
Chopard,https://www.chopard.com/fr-ch/watch/278582-6014.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278582-6014_01.png",HAPPY SPORT,278582-6014,6400.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,6971.68
Chopard,https://www.chopard.com/fr-ch/watch/278582-6012.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278582-6012_01.png",HAPPY SPORT,278582-6012,6400.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,6971.68
Chopard,https://www.chopard.com/fr-ch/watch/278573-3011.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278573-3011_01.png",HAPPY SPORT,278573-3011,6730.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,7331.15
Chopard,https://www.chopard.com/fr-ch/watch/278582-3002.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278582-3002_01.png",HAPPY SPORT,278582-3002,7190.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,7832.24
Chopard,https://www.chopard.com/fr-ch/watch/278582-3009.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278582-3009_01.png",HAPPY SPORT,278582-3009,7410.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,8071.9
Chopard,https://www.chopard.com/fr-ch/watch/278582-3008.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278582-3008_01.png",HAPPY SPORT,278582-3008,7410.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,8071.9
Chopard,https://www.chopard.com/fr-ch/watch/278582-3011.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278582-3011_01.png",HAPPY SPORT,278582-3011,7410.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,8071.9
Chopard,https://www.chopard.com/fr-ch/watch/278559-3011.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278559-3011_01.png",HAPPY SPORT,278559-3011,7590.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,8267.97
Chopard,https://www.chopard.com/fr-ch/watch/278608-3001.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278608-3001_01.png",HAPPY SPORT,278608-3001,7840.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,8540.31
Chopard,https://www.chopard.com/fr-ch/watch/278608-3010.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278608-3010_01.png",HAPPY SPORT,278608-3010,7900.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,8605.66
Chopard,https://www.chopard.com/fr-ch/watch/278582-6005.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278582-6005_01.png",HAPPY SPORT,278582-6005,7950.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,8660.13
Chopard,https://www.chopard.com/fr-ch/watch/278573-6026.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/278573-6026_01.png",HAPPY SPORT,278573-6026,8090.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,8812.64
